pop,ind,lat,long,MO1,MO6,MO10,MO55,MO61,MO41,MO45,MO46,MO56,MO8,MO12,MO13,MO68
WM,S23T12,575787,3149214,136/136,506/506,270/270,110/110,298/298,143/143,208/208,414/428,335/335,165/165,256/256,328/334,245/245
WM,S23T14,575822,3149208,136/136,506/508,270/270,110/110,302/302,143/143,198/208,418/428,333/351,149/165,248/262,328/336,249/267
WM,S23T18,575848,3149211,136/136,506/510,270/270,110/122,298/302,143/143,210/212,426/428,335/351,165/165,268/268,328/346,255/267
WM,S23T20,575870,3149203,136/136,506/510,270/270,110/122,298/298,143/143,208/210,426/428,335/335,165/165,266/266,328/346,267/267
WM,S24T1,575864,3149226,136/136,506/506,270/270,110/110,298/298,143/143,196/208,426/426,335/335,165/165,256/256,336/346,267/267
WM,S24T2,575868,3149226,136/136,506/510,270/270,110/110,298/298,143/143,208/210,418/418,335/335,165/165,268/268,336/336,245/245
WM,S24T4,575888,3149262,136/136,506/506,270/270,110/110,298/302,143/143,208/210,418/418,335/335,165/165,268/268,336/336,245/267
WM,S24T6,575897,3149264,136/136,506/508,270/270,110/110,298/302,143/143,200/208,418/428,335/345,165/165,256/264,328/336,245/267
WM,S24T8,575909,3149270,136/136,506/506,270/270,110/110,302/302,143/143,208/208,426/428,345/345,165/165,268/268,336/346,245/267
WM,S24T9,575908,3149274,136/136,506/506,270/270,110/110,298/298,143/143,208/210,428/428,335/345,163/165,268/268,328/336,245/267
WM,S24T10,575905,3149277,136/136,506/506,270/270,110/110,298/302,143/143,208/210,418/428,335/345,165/165,268/268,336/346,267/267
WM,S24T11,575916,3149296,136/136,506/506,270/270,110/112,298/302,143/143,208/210,426/428,335/335,165/165,256/264,328/336,235/245
WM,S24T12,575914,3149296,136/136,506/506,270/270,110/110,298/302,143/143,208/210,426/428,333/335,165/165,258/258,336/336,245/267
WM,S24T14,575916,3149299,136/136,506/506,270/270,110/110,302/302,143/143,196/210,428/428,345/347,163/165,268/268,328/334,251/251
WA,S25T1,560888,3174508,136/136,506/508,268/270,98/110,298/302,143/143,196/208,414/428,335/345,165/165,248/256,334/334,249/249
WA,S25T2,560888,3174499,136/136,508/508,270/270,98/110,302/302,143/143,196/210,418/424,335/335,165/165,250/266,334/334,249/251
WA,S25T3,560932,3174467,136/136,506/508,270/270,110/112,302/302,143/143,212/212,426/428,335/345,141/165,266/266,328/340,255/255
WA,S25T4,560910,3174405,136/136,506/506,270/270,110/112,302/302,143/143,196/210,426/428,345/347,161/165,256/256,334/340,255/255
WA,S25T5,560998,3174403,136/136,506/506,286/286,110/122,302/302,143/143,208/210,420/428,347/347,163/165,268/268,334/346,235/249
WA,S25T6,561023,3174368,136/136,506/506,270/270,110/110,302/302,143/143,196/210,428/428,335/347,161/165,256/256,328/334,249/255
WA,S25T7,561051,3174370,136/136,506/508,NA,112/122,302/302,143/143,196/208,428/428,335/345,149/165,266/266,336/342,235/255
WA,S25T8,561068,3174352,136/136,506/510,270/270,110/122,298/302,143/143,196/208,414/428,333/335,149/149,264/264,336/340,235/245
WA,S25T9,561091,3174313,136/136,502/508,270/270,110/122,298/302,143/143,196/208,428/428,345/345,165/165,268/268,328/336,255/255
WA,S25T10,561109,3174309,136/136,506/506,270/270,110/110,298/302,143/143,196/208,420/428,345/345,165/165,256/268,328/334,249/255
